algorithm,n,time
cubic,30,0.18637323379516602
cubic,30,0.19284796714782715
cubic,30,0.18059182167053223
cubic,30,0.1770310401916504
cubic,30,0.18661808967590332
cubic,42,0.1855330467224121
cubic,42,0.18100690841674805
cubic,42,0.1798231601715088
cubic,42,0.1802380084991455
cubic,42,0.17341089248657227
cubic,59,0.20325565338134766
cubic,59,0.19347310066223145
cubic,59,0.18489599227905273
cubic,59,0.1812911033630371
cubic,59,0.18327093124389648
cubic,84,0.18938207626342773
cubic,84,0.18144512176513672
cubic,84,0.1881389617919922
cubic,84,0.1896350383758545
cubic,84,0.2030351161956787
cubic,118,0.20183801651000977
cubic,118,0.20806884765625
cubic,118,0.19992303848266602
cubic,118,0.19820117950439453
cubic,118,0.2240772247314453
cubic,167,0.22590303421020508
cubic,167,0.2208092212677002
cubic,167,0.20987629890441895
cubic,167,0.2168269157409668
cubic,167,0.1992030143737793
cubic,235,0.1999969482421875
cubic,235,0.19831299781799316
cubic,235,0.18746685981750488
cubic,235,0.19232487678527832
cubic,235,0.20534491539001465
cubic,332,0.20900487899780273
cubic,332,0.22694921493530273
cubic,332,0.2206590175628662
cubic,332,0.21791815757751465
cubic,332,0.20652484893798828
cubic,468,0.2453632354736328
cubic,468,0.22917485237121582
cubic,468,0.2298750877380371
cubic,468,0.22927331924438477
cubic,468,0.23682212829589844
cubic,660,0.2483220100402832
cubic,660,0.24591779708862305
cubic,660,0.23694205284118652
cubic,660,0.24815893173217773
cubic,660,0.2784109115600586
cubic,931,0.3271512985229492
cubic,931,0.32363319396972656
cubic,931,0.32219600677490234
cubic,931,0.3182549476623535
cubic,931,0.2901298999786377
cubic,1313,0.3850748538970947
cubic,1313,0.34328794479370117
cubic,1313,0.34296393394470215
cubic,1313,0.3615376949310303
cubic,1313,0.36672115325927734
cubic,1852,0.5688719749450684
cubic,1852,0.578881025314331
cubic,1852,0.5580658912658691
cubic,1852,0.5627861022949219
cubic,1852,0.5505878925323486
cubic,2611,1.1700000762939453
cubic,2611,1.153540849685669
cubic,2611,1.127101182937622
cubic,2611,1.1797051429748535
cubic,2611,1.146981954574585
cubic,3682,3.7486417293548584
cubic,3682,2.777745246887207
cubic,3682,2.785377025604248
cubic,3682,2.829211950302124
cubic,3682,2.8247690200805664
cubic,5192,7.299215078353882
cubic,5192,7.255818843841553
cubic,5192,7.245298862457275
cubic,5192,7.193402290344238
cubic,5192,7.236802101135254
cubic,7321,19.826918840408325
cubic,7321,19.758103847503662
cubic,7321,19.68595266342163
cubic,7321,19.71942710876465
cubic,7321,19.669360160827637
quadratic,30,0.18856024742126465
quadratic,30,0.18004226684570312
quadratic,30,0.18411803245544434
quadratic,30,0.1868290901184082
quadratic,30,0.18348097801208496
quadratic,42,0.18247389793395996
quadratic,42,0.19110584259033203
quadratic,42,0.1808609962463379
